model,native_language,mean,sem,count,dataset,stage,release_date
OWSM 4.0 1B,Korean,0.050256118881118875,0.0038664075772943747,600,L2-Arctic,degradation,2025-05
OWSM 4.0 1B,Spanish,0.06304761442261442,0.004507325333410941,600,L2-Arctic,degradation,2025-05
OWSM 4.0 1B,USA,0.00966851095527566,0.0017224237109566317,408,L2-Arctic,degradation,2025-05
OWSM 4.0 1B,Vietnamese,0.15850844525844524,0.0072906004294453555,600,L2-Arctic,degradation,2025-05
Omnilingual 7B,Arabic,0.0612409710489844,0.004635868074425964,599,L2-Arctic,degradation,2025-11
Omnilingual 7B,Chinese,0.09004581529581529,0.004795464534761734,600,L2-Arctic,degradation,2025-11
Omnilingual 7B,Hindi,0.031526399526399525,0.0037317088217491646,600,L2-Arctic,degradation,2025-11
Omnilingual 7B,Korean,0.04667126392126392,0.0036149813816238325,600,L2-Arctic,degradation,2025-11
Omnilingual 7B,Spanish,0.06329548692048692,0.004281015296798336,600,L2-Arctic,degradation,2025-11
Omnilingual 7B,USA,0.014554066576125398,0.0021317646041172328,408,L2-Arctic,degradation,2025-11
Omnilingual 7B,Vietnamese,0.16681432456432457,0.007095333387646184,600,L2-Arctic,degradation,2025-11
Qwen2 Audio 7B,Arabic,0.09286140959763664,0.006340194654973159,599,L2-Arctic,degradation,2024-08
Qwen2 Audio 7B,Chinese,0.07232493432493431,0.004453016325466505,600,L2-Arctic,degradation,2024-08
Qwen2 Audio 7B,Hindi,0.040788970288970286,0.00380968615514239,600,L2-Arctic,degradation,2024-08
Qwen2 Audio 7B,Korean,0.05450206737706737,0.004166046320257775,600,L2-Arctic,degradation,2024-08
Qwen2 Audio 7B,Spanish,0.08244799413549413,0.005819729784554055,600,L2-Arctic,degradation,2024-08
Qwen2 Audio 7B,USA,0.03241869105839694,0.006565808656312443,408,L2-Arctic,degradation,2024-08
Qwen2 Audio 7B,Vietnamese,0.1939221519221519,0.009415161611619666,600,L2-Arctic,degradation,2024-08
Qwen3 ASR 1.7B,Arabic,0.0382379862763836,0.0035216740222980786,599,L2-Arctic,degradation,2025-06
Qwen3 ASR 1.7B,Chinese,0.04615621415621415,0.003497065085909091,600,L2-Arctic,degradation,2025-06
Qwen3 ASR 1.7B,Hindi,0.01945095645095645,0.0030513596917152836,600,L2-Arctic,degradation,2025-06
Qwen3 ASR 1.7B,Korean,0.02708033633033633,0.0029593012104949606,600,L2-Arctic,degradation,2025-06
Qwen3 ASR 1.7B,Spanish,0.04414677683427683,0.003494415990217813,600,L2-Arctic,degradation,2025-06
Qwen3 ASR 1.7B,USA,0.030812365738836323,0.00405739882874963,408,L2-Arctic,degradation,2025-06
Qwen3 ASR 1.7B,Vietnamese,0.11895584045584044,0.006544672689106122,600,L2-Arctic,degradation,2025-06
SeamlessM4T,Arabic,0.07746696356879997,0.006253251866786274,599,L2-Arctic,degradation,2023-12
SeamlessM4T,Chinese,0.07184690772190772,0.0051913416764801145,600,L2-Arctic,degradation,2023-12
SeamlessM4T,Hindi,0.02883256558256558,0.0038275149554055196,600,L2-Arctic,degradation,2023-12
SeamlessM4T,Korean,0.05033346745846745,0.005726754892617829,600,L2-Arctic,degradation,2023-12
SeamlessM4T,Spanish,0.08537593656343656,0.006330916210924725,600,L2-Arctic,degradation,2023-12
SeamlessM4T,USA,0.01802748585836821,0.0028903025274774246,408,L2-Arctic,degradation,2023-12
SeamlessM4T,Vietnamese,0.18195177507677507,0.008491221129460927,600,L2-Arctic,degradation,2023-12
WavLM Libri-100h,Arabic,0.304999966644374,0.009041638653231243,599,L2-Arctic,degradation,2021-12
WavLM Libri-100h,Chinese,0.3854047202797202,0.008797877538250228,600,L2-Arctic,degradation,2021-12
WavLM Libri-100h,Hindi,0.2819176147926148,0.008202556016057414,600,L2-Arctic,degradation,2021-12
WavLM Libri-100h,Korean,0.2608145326895327,0.008237658079483498,600,L2-Arctic,degradation,2021-12
WavLM Libri-100h,Spanish,0.32541101953601953,0.009230667679716762,600,L2-Arctic,degradation,2021-12
WavLM Libri-100h,USA,0.09034675836146423,0.006635111187077193,408,L2-Arctic,degradation,2021-12
WavLM Libri-100h,Vietnamese,0.44146765734265736,0.009805498537423199,600,L2-Arctic,degradation,2021-12
Whisper Large v1,Arabic,1.7022834117498489,0.14392212507252464,581,L2-Arctic,degradation,2022-09
Whisper Large v1,Chinese,1.2339673747502031,0.11498109412288991,594,L2-Arctic,degradation,2022-09
Whisper Large v1,Hindi,0.6749611638825685,0.07296682118234328,598,L2-Arctic,degradation,2022-09
Whisper Large v1,Korean,1.4840511387228559,0.15536512753995668,594,L2-Arctic,degradation,2022-09
Whisper Large v1,Spanish,1.1617268235381757,0.12321120042643151,599,L2-Arctic,degradation,2022-09
Whisper Large v1,USA,0.561070689026354,0.08551114279278187,406,L2-Arctic,degradation,2022-09
Whisper Large v1,Vietnamese,1.2170489267734677,0.1323075722692801,599,L2-Arctic,degradation,2022-09
Whisper Large v2,Arabic,0.08984789093303283,0.005987143431101736,599,L2-Arctic,degradation,2022-12
Whisper Large v2,Chinese,0.09080887168387168,0.005399475344440904,600,L2-Arctic,degradation,2022-12
Whisper Large v2,Hindi,0.0304279008029008,0.0027846229830327763,600,L2-Arctic,degradation,2022-12
Whisper Large v2,Korean,0.06209418359418359,0.004719470185233331,600,L2-Arctic,degradation,2022-12
Whisper Large v2,Spanish,0.07801909895659895,0.005113980752935948,600,L2-Arctic,degradation,2022-12
Whisper Large v2,USA,0.021310742634272045,0.0027948388204197187,408,L2-Arctic,degradation,2022-12
Whisper Large v2,Vietnamese,0.1775711556961557,0.00847667601263503,600,L2-Arctic,degradation,2022-12
Whisper Large v3,Arabic,0.07764612497500643,0.005311074792991149,599,L2-Arctic,degradation,2023-11
Whisper Large v3,Chinese,0.10290605228105228,0.006036710196357897,600,L2-Arctic,degradation,2023-11
Whisper Large v3,Hindi,0.03807130832130831,0.003151482041468144,600,L2-Arctic,degradation,2023-11
Whisper Large v3,Korean,0.05470612258112258,0.004662195042602522,600,L2-Arctic,degradation,2023-11
Whisper Large v3,Spanish,0.08401489482739483,0.005326635798405706,600,L2-Arctic,degradation,2023-11
Whisper Large v3,USA,0.010281024803083625,0.001723472739278446,408,L2-Arctic,degradation,2023-11
Whisper Large v3,Vietnamese,0.19519866244866244,0.0086955480744854,600,L2-Arctic,degradation,2023-11
Canary Qwen 2.5B,Arabic,0.045048049312263354,0.003713887497519201,598,L2-Arctic,trend,2025-07
Canary Qwen 2.5B,Chinese,0.06234894734894734,0.0040396466295432665,600,L2-Arctic,trend,2025-07
Canary Qwen 2.5B,Hindi,0.01826153476153476,0.002077323424447792,600,L2-Arctic,trend,2025-07
Canary Qwen 2.5B,Korean,0.032501406001406,0.0029809462663990434,600,L2-Arctic,trend,2025-07
Canary Qwen 2.5B,Spanish,0.04876774614274614,0.003890306965588229,600,L2-Arctic,trend,2025-07
Canary Qwen 2.5B,USA,0.015164131892073067,0.0021598726158280042,408,L2-Arctic,trend,2025-07
Canary Qwen 2.5B,Vietnamese,0.13557819495319495,0.007100705804104528,600,L2-Arctic,trend,2025-07
Deepspeech,Arabic,0.20383461835882535,0.008412556541877314,599,L2-Arctic,trend,2021-10
Deepspeech,Chinese,0.27508999533206546,0.009013019352212525,599,L2-Arctic,trend,2021-10
Deepspeech,Hindi,0.18687038887038884,0.0082983832583901,600,L2-Arctic,trend,2021-10
Deepspeech,Korean,0.18273386335886335,0.008016494174267454,600,L2-Arctic,trend,2021-10
Deepspeech,Spanish,0.19886816655566655,0.00779279299342441,600,L2-Arctic,trend,2021-10
Deepspeech,USA,0.03839856358238711,0.0039229350618309395,408,L2-Arctic,trend,2021-10
Deepspeech,Vietnamese,0.3304720464720465,0.009712742334602755,600,L2-Arctic,trend,2021-10
Google Chirp 3,Arabic,0.04579400844008523,0.0035834026773830067,599,L2-Arctic,trend,2025-10
Google Chirp 3,Chinese,0.08075607263107262,0.004876121941704451,600,L2-Arctic,trend,2025-10
Google Chirp 3,Hindi,0.02598970011470011,0.002401264405116703,600,L2-Arctic,trend,2025-10
Google Chirp 3,Korean,0.03950439747601684,0.0032157168748735343,599,L2-Arctic,trend,2025-10
Google Chirp 3,Spanish,0.06685372266622265,0.004479413298925604,600,L2-Arctic,trend,2025-10
Google Chirp 3,USA,0.014976261483614424,0.0023101234579925942,408,L2-Arctic,trend,2025-10
Google Chirp 3,Vietnamese,0.15393090705590703,0.007168088913636112,600,L2-Arctic,trend,2025-10
MMS 1B All,Arabic,0.1481066466458787,0.007896214410013178,599,L2-Arctic,trend,2023-05
MMS 1B All,Chinese,0.18456164036297593,0.00761321842364197,599,L2-Arctic,trend,2023-05
MMS 1B All,Hindi,0.08210921485921485,0.006084410012330595,600,L2-Arctic,trend,2023-05
MMS 1B All,Korean,0.10563640988640988,0.005859813479921319,600,L2-Arctic,trend,2023-05
MMS 1B All,Spanish,0.14216500629000628,0.006977189522451737,600,L2-Arctic,trend,2023-05
